RegionID,city_state,latitude,longitude
23482,"Anchorage, AK",61.216312,-149.89485
38465,"Fairbanks, AK",64.837845,-147.71667
48346,"Wasilla, AK",61.58242,-149.44257
36906,"Palmer, AK",61.59957,-149.11108
38268,"Eagle River, AK",61.270027,-149.3864
5365,"Juneau, AK",58.30196,-134.41968
29910,"North Pole, AK",64.751,-147.34932
32296,"Ketchikan, AK",55.34307,-131.64668
56812,"Soldotna, AK",60.484722,-151.06535
52742,"Kenai, AK",60.554443,-151.25833
102387,"Meadow Lakes, AK",61.62472,-149.6011
39281,"Kodiak, AK",57.790165,-152.40671
13863,"Sitka, AK",57.408607,-135.45963
44592,"Chugiak, AK",61.373676,-149.4949
21909,"Homer, AK",59.645405,-151.54457
54367,"Seward, AK",60.101395,-149.44043
15712,"Petersburg, AK",56.768795,-132.8801
102210,"Fox River, AK",59.860657,-150.98181
44902,"Delta Junction, AK",64.037346,-145.73216
102155,"Diamond Ridge, AK",59.70314,-151.55504
11775,"Haines, AK",59.083122,-135.34306
9330,"Talkeetna, AK",62.267643,-150.02953
14660,"Willow, AK",61.805046,-149.73679
27644,"Valdez, AK",61.12994,-146.34937
31042,"Cordova, AK",60.54434,-145.7595
29803,"Sterling, AK",60.536236,-150.85648
34919,"Wrangell, AK",56.470604,-132.38295
7336,"Sutton, AK",61.711388,-148.89417
54366,"Seldovia, AK",59.439205,-151.71391
28124,"Anchor Point, AK",59.76833,-151.67702
18620,"Hope, AK",60.896473,-149.62202
6035,"Moose Pass, AK",60.49174,-149.41402
40023,"Ninilchik, AK",60.08176,-151.36821
28849,"Kasilof, AK",60.330143,-151.23663
102559,"Saxman, AK",55.318333,-131.59584
50871,"Barrow, AK",71.290535,-156.78844
36537,"Salcha, AK",64.5388,-146.92656
31026,"Cooper Landing, AK",60.495445,-149.84778
10832,"Clam Gulch, AK",60.20799,-151.39017
102287,"Kachemak City, AK",59.674664,-151.4321
32900,"Mobile, AL",30.691347,-88.043755
10417,"Birmingham, AL",33.520683,-86.80243
12014,"Huntsville, AL",34.729847,-86.5859
32931,"Montgomery, AL",32.37742,-86.309166
14208,"Tuscaloosa, AL",33.20956,-87.56753
25179,"Hoover, AL",33.350292,-86.85112
24414,"Dothan, AL",31.223728,-85.39344
25704,"Madison, AL",34.77368,-86.56751
16838,"Auburn, AL",32.609856,-85.48078
4317,"Decatur, AL",34.60602,-86.98382
6487,"Phenix City, AL",32.470978,-85.00076
11455,"Florence, AL",34.79981,-87.67725
